feature,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count
id,250.75,750.25,499.5,-498.5,1499.5,0
latitude,16.43506175,18.99604725,2.560985500000001,12.593583499999998,22.8375255,125
longitude,77.15014725,80.59916824999999,3.4490209999999877,71.97661575000002,85.77269974999997,0
lighting_score,3.0,8.0,5.0,-4.5,15.5,0
crowd_density_score,3.0,8.0,5.0,-4.5,15.5,0
police_presence_score,2.0,8.0,6.0,-7.0,17.0,0
cctv_coverage_score,2.0,8.0,6.0,-7.0,17.0,0
historical_crime_count,27.0,79.0,52.0,-51.0,157.0,0
emergency_access_score,3.0,8.0,5.0,-4.5,15.5,0
risk_score,31.502499999999998,44.6175,13.115000000000002,11.829999999999995,64.29,4
safe_route_score,63.39,81.8275,18.4375,35.73375,109.48375,5
