id,location,city,latitude,longitude,road_type,lighting_score,crowd_density_score,police_presence_score,cctv_coverage_score,historical_crime_count,emergency_access_score,crime_type,risk_score,risk_level,safe_route_score,safe_route_path,voice_detected,voice_phrase,voice_event_type,recommended_action
1,"Main Road, Hyderabad",Hyderabad,17.402385,78.481861,Main Road,5,4,3,2,94,2,Theft,56.32,Medium,53.82,"17.406193,78.481276 -> 17.4018,78.485809 -> 17.404304,78.480687 -> 17.403741,78.480702 -> 17.401221,78.482466 -> 17.397602,78.477549 -> 17.400979,78.479329",True,help,Help,Trigger emergency alert and share location
2,"Main Road, Visakhapatnam",Visakhapatnam,17.697799,83.186719,Main Road,2,4,3,8,77,1,Stalking,54.52,Medium,47.12,"17.701463,83.186155 -> 17.697968,83.183157 -> 17.696438,83.186996 -> 17.694922,83.187658 -> 17.696297,83.18599 -> 17.696295,83.19135 -> 17.697765,83.184075",True,save me,Help,Trigger emergency alert and share location
3,"Bus Stop Area, Delhi",Delhi,28.642689,77.16627,Bus Stop Area,8,10,4,0,97,3,None,42.7,Medium,66.74,"28.63779,77.16295 -> 28.643181,77.168116 -> 28.643117,77.165981 -> 28.641936,77.162574 -> 28.640889,77.165118 -> 28.645332,77.167129",True,call my mother,Relative,Notify selected relative
4,"College Road, Bengaluru",Bengaluru,12.909894,77.605943,College Road,2,2,6,1,45,6,Robbery,49.89,Medium,53.49,"12.908202,77.607472 -> 12.912471,77.608271 -> 12.907796,77.60517 -> 12.910722,77.608382 -> 12.908696,77.605479 -> 12.907128,77.602952 -> 12.911925,77.609334",True,call police,Emergency,Trigger emergency alert and share location
5,"Residential Street, Mumbai",Mumbai,19.07348,72.912824,Residential Street,7,2,8,4,80,10,None,37.27,Medium,76.94,"19.071867,72.913727 -> 19.077325,72.912734 -> 19.077392,72.906275 -> 19.075535,72.913042 -> 19.072732,72.913053",True,dad,Relative,Notify selected relative
6,"Main Road, Hyderabad",Hyderabad,17.315435,78.479011,Main Road,4,5,1,3,12,7,Stalking,41.0,Medium,66.59,"17.31913,78.477715 -> 17.313414,78.477757 -> 17.317724,78.479833 -> 17.314111,78.480294 -> 17.315678,78.481433",True,call my sister,Relative,Notify selected relative
7,"Market Road, Pune",Pune,18.495828,73.845232,Market Road,6,6,3,10,34,2,Theft,34.95,Medium,76.38,"18.492169,73.845972 -> 18.496481,73.845245 -> 18.495242,73.841694 -> 18.494776,73.844375 -> 18.493822,73.844829 -> 18.496838,73.849947 -> 18.496264,73.845876",True,help me,Help,Trigger emergency alert and share location
8,"Market Road, Bengaluru",Bengaluru,12.968994,77.527443,Market Road,8,7,4,10,88,9,Sexual Harassment,30.82,Medium,84.45,"12.969145,77.533601 -> 12.968513,77.528197 -> 12.968907,77.524521 -> 12.971851,77.529323",True,call my mother,Relative,Notify selected relative
9,"Bus Stop Area, Visakhapatnam",Visakhapatnam,17.714486,83.186671,Bus Stop Area,1,6,6,4,8,4,None,39.45,Medium,74.16,"17.710981,83.188138 -> 17.719962,83.184195 -> 17.71307,83.18692 -> 17.713227,83.182794 -> 17.714657,83.184015 -> 17.71567,83.184372 -> 17.718361,83.184713",True,call my mother,Relative,Notify selected relative
10,"Park Road, Mumbai",Mumbai,19.064728,72.906173,Park Road,8,3,4,2,31,9,Assault,34.48,Medium,69.17,"19.065297,72.909441 -> 19.060709,72.906635 -> 19.065378,72.908128 -> 19.061636,72.902872 -> 19.066033,72.906915 -> 19.065354,72.907039 -> 19.063028,72.906754",True,call police,Emergency,Trigger emergency alert and share location
11,"Park Road, Delhi",Delhi,28.624158,77.183998,Park Road,6,4,2,8,63,2,None,45.48,Medium,75.25,"28.625343,77.18102 -> 28.625799,77.181561 -> 28.626126,77.186894",True,help,Help,Trigger emergency alert and share location
12,"Park Road, Vijayawada",Vijayawada,16.477476,80.681718,Park Road,10,2,6,6,76,8,Abduction,33.91,Medium,83.35,"16.479531,80.68646 -> 16.476863,80.679834 -> 16.475252,80.679678 -> 16.477283,80.682571 -> 16.478168,80.683786 -> 16.477509,80.685352 -> 16.476814,80.688518",True,call police,Emergency,Trigger emergency alert and share location
13,"Residential Street, Visakhapatnam",Visakhapatnam,17.708698,83.188499,Residential Street,9,5,10,5,14,5,Harassment,19.95,Low,90.39,"17.709904,83.18794 -> 17.710483,83.189682 -> 17.708516,83.186382 -> 17.704911,83.187383 -> 17.710839,83.189034 -> 17.705584,83.188932",True,help me,Help,Trigger emergency alert and share location
